精靈球,<:4_PMBall:1234089595654897726>
超級球,<:3_PMBall:1234089594090295367>
高級球,<:2_PMBall:1234089592613900359>
大師球,<:1_PMBall:1234089591078781028>
狩獵球,<:5_PMBall:1234089597588340736>
等級球,<:18_PMBall:1234089623416733698>
誘餌球,<:19_PMBall:1234090767278936075>
月亮球,<:23_PMBall:1234089635416899626>
友友球,<:22_PMBall:1234089631629447169>
甜蜜球,<:21_PMBall:1234090829816008765>
沉重球,<:20_PMBall:1234089627330023504>
速度球,<:17_PMBall:1234090705874456607>
公園球,公園球
紀念球,<:12_PMBall:1234089609982640218>
重複球,<:9_PMBall:1234089604676845599>
計時球,<:10_PMBall:1234089606237130752>
巢穴球,<:8_PMBall:1234089603208577067>
捕網球,<:6_PMBall:1234089599983419443>
潛水球,<:7_PMBall:1234089601728249886>
豪華球,<:11_PMBall:1234090577146941521>
治癒球,<:14_PMBall:1234090643677249537>
先機球,<:15_PMBall:1234089616299135047>
黑暗球,<:13_PMBall:1234089612226334731>
貴重球,<:16_PMBall:1234089619411177522>
競賽球,<:24_PMBall:1234089637061070869>
夢境球,<:25_PMBall:1234090881611726849>
究極球,<:26_PMBall:1234089641272148059>
飛羽球,<:31_PMBall:1234091019277045830>
飛翼球,<:32_PMBall:1234089652647100437>
飛梭球,<:33_PMBall:1234092688643723355>
超重球,<:35_PMBall:1234089658317541408>
巨重球,<:36_PMBall:1234089661312532621>
起源球,<:37_PMBall:1234091090940792904>
奇異球,<:27_PMBall:1234090924175261769>
精靈球LA,<:28_PMBall:1234089644769939508>
超級球LA,<:29_PMBall:1234090975211814993>
高級球LA,<:30_PMBall:1234089649018900621>
沉重球LA,<:34_PMBall:1234089654383415306>
